detector,descriptor,#Img,#KptsPerFrame,#KptsMatched,TimeDetectorMs,TimeDescriptorMs,TimeMatchingMs,TTCLidar(s),TTCCamera(s)
SHITOMASI,BRISK,0,1723,0,9.3589,11.5669,0,0,0
SHITOMASI,BRISK,1,1759,797,8.1497,11.083,7.0821,0,0
SHITOMASI,BRISK,2,1820,779,7.895,12.1659,7.1589,0,0
SHITOMASI,BRISK,3,1850,843,8.7502,11.9516,7.555,0,0
SHITOMASI,BRISK,4,1828,792,8.1318,11.7489,7.8357,0,0
SHITOMASI,BRISK,5,1806,817,9.0721,11.4304,7.4763,0,0
SHITOMASI,BRISK,6,1877,805,8.1997,12.6373,7.5896,13.7511,21.358
SHITOMASI,BRISK,7,1894,780,8.6081,13.0738,7.9306,0,0
SHITOMASI,BRISK,8,1889,850,7.9379,11.9037,7.8819,0,0
SHITOMASI,BRISK,9,1917,842,8.0994,11.7483,7.927,0,0
SHITOMASI,BRISK,10,1874,832,8.163,11.9419,8.2758,4.94066e-324,-nan
SHITOMASI,BRISK,11,1912,857,8.1009,12.2191,7.7732,6.95026e-310,6.9533e-310
SHITOMASI,BRISK,12,1930,849,8.2404,12.7559,8.1229,3.39519e-313,6.32404e-322
SHITOMASI,BRISK,13,1880,884,8.0211,13.7875,8.2521,4.04739e-320,3.73471e-312
SHITOMASI,BRISK,14,1886,889,8.0742,11.8707,8.0425,3.30541e-317,7.90505e-323
SHITOMASI,BRISK,15,1957,906,8.0541,12.1162,8.3093,6.95026e-310,9.88131e-324
SHITOMASI,BRISK,16,1888,878,8.0656,12.2397,8.2265,3.30536e-317,2.37664e-312
SHITOMASI,BRISK,17,1919,914,8.1449,12.0139,8.2066,6.95026e-310,0

SHITOMASI,BRIEF,0,1723,0,8.0521,11.0126,0,0,0
SHITOMASI,BRIEF,1,1759,797,8.2489,11.9802,6.9198,0,0
SHITOMASI,BRIEF,2,1820,779,8.0126,11.7258,7.3131,0,0
SHITOMASI,BRIEF,3,1850,843,7.8781,11.8616,7.7613,0,0
SHITOMASI,BRIEF,4,1828,792,7.9334,12.0124,8.0214,0,0
SHITOMASI,BRIEF,5,1806,817,8.0676,11.4033,7.6204,0,0
SHITOMASI,BRIEF,6,1877,805,8.0751,11.9216,7.5072,13.7511,21.358
SHITOMASI,BRIEF,7,1894,780,8.1437,12.3593,7.797,0,0
SHITOMASI,BRIEF,8,1889,850,8.2235,11.7182,7.887,0,0
SHITOMASI,BRIEF,9,1917,842,7.9211,12.2111,8.0452,0,0
SHITOMASI,BRIEF,10,1874,832,7.9677,11.6375,7.9765,4.94066e-324,-nan
SHITOMASI,BRIEF,11,1912,857,8.0541,12.0206,7.8437,6.95026e-310,6.9533e-310
SHITOMASI,BRIEF,12,1930,849,7.8709,12.7649,8.7282,3.39519e-313,6.32404e-322
SHITOMASI,BRIEF,13,1880,884,8.2731,11.8463,8.075,4.04739e-320,3.73471e-312
SHITOMASI,BRIEF,14,1886,889,8.0532,12.2135,8.0285,3.30541e-317,7.90505e-323
SHITOMASI,BRIEF,15,1957,906,8.4036,12.5302,8.3239,6.95026e-310,9.88131e-324
SHITOMASI,BRIEF,16,1888,878,8.2569,13.3929,13.1268,3.30536e-317,2.37664e-312
SHITOMASI,BRIEF,17,1919,914,8.1714,12.3536,8.3716,6.95026e-310,0

SHITOMASI,ORB,0,1723,0,8.3665,11.1153,0,0,0
SHITOMASI,ORB,1,1759,797,7.9961,11.329,7.0656,0,0
SHITOMASI,ORB,2,1820,779,8.3138,11.8261,7.2836,0,0
SHITOMASI,ORB,3,1850,843,8.2851,11.8581,7.8097,0,0
SHITOMASI,ORB,4,1828,792,8.4016,11.6692,7.8577,0,0
SHITOMASI,ORB,5,1806,817,8.2571,11.4546,7.5456,0,0
SHITOMASI,ORB,6,1877,805,8.3495,12.069,7.4793,13.7511,21.358
SHITOMASI,ORB,7,1894,780,8.5532,11.7841,7.7707,0,0
SHITOMASI,ORB,8,1889,850,8.4409,11.8999,7.9964,0,0
SHITOMASI,ORB,9,1917,842,8.0262,11.9453,8.0647,0,0
SHITOMASI,ORB,10,1874,832,8.1927,11.9709,7.922,4.94066e-324,-nan
SHITOMASI,ORB,11,1912,857,8.6204,12.0407,7.8777,6.95026e-310,6.9533e-310
SHITOMASI,ORB,12,1930,849,8.8641,12.99,9.363,3.39519e-313,6.32404e-322
